Book Name,Author,Description,Listening Time,Ranks and Genre,Rating,Number of Reviews,Price,Primary Genre,All Genres
"""Don'T You Know Who I Am?"": How To Stay Sane In An Era Of Narcissism, Entitlement, And Incivility",Ramani S. Durvasula Phd,,,,4.8,170.0,836.0,Unknown,[]
#Girlboss,Sophia Amoruso,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,2260.0,615.0,-1,['-1']
"#Therealcinderella: #Bestfriendsforever Series, Book 1",Yesenia Vargas,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,179.0,586.0,-1,['-1']
10 Bedtime Stories For Little Kids,Div.,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",-1,-1,-1.0,,376.0,-1,['-1']
10 Essential Pieces Of Literature,Khalil Gibran,This Audiobook contains the following works:,87 hours and 44 minutes,",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",-1.0,,32.0,,"['', '#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#40 in Classic Literature', '#777 in Classic Fiction (Books)']"
10 Essential Success Mantras From The Bhagavad Gita (Rupa Quick Reads),Vimla Patil,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level. ",26 minutes,",#3,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Hinduism (Audible Audiobooks & Originals),#57 in Forecasting & Strategic Planning,#136 in Leadership",4.2,45.0,233.0,,"['', '#3', '076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#45 in Hinduism (Audible Audiobooks & Originals)', '#57 in Forecasting & Strategic Planning', '#136 in Leadership']"
10 Judgements That Changed India,Zia Mody,,,,4.4,221.0,502.0,Unknown,[]
10 Masterpieces You Have To Read Before You Die 1,Jane Austen,This Audiobook contains the following works :,102 hours and 19 minutes,",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",4.4,331.0,401.0,,"['', '#1', '485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#4 in Caribbean & Latin American Literature', '#6 in English', 'Irish', 'Scottish & Welsh Literature', '#77 in Classic Literature']"
10 Minutes 38 Seconds In This Strange World,Elif Shafak,Shortlisted for the Booker Prize 2019,9 hours and 11 minutes,",#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Friendship Fiction,#3 in Women's Fiction,#3 in Political Fiction",4.5,507.0,752.0,,"['', '#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#1 in Friendship Fiction', ""#3 in Women's Fiction"", '#3 in Political Fiction']"
10 Skills For Effective Business Communication: Practical Strategies From The World'S Greatest Leaders,Jessica Higgins Jd Mba Bb,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.  ,-1,-1,4.6,43.0,501.0,-1,['-1']
10 Steps To Earning Awesome Grades (While Studying Less),Thomas Frank,,,,4.6,266.0,335.0,Unknown,[]
100 Baggers: Stocks That Return 100-To-1 And How To Find Them,Christopher W. Mayer,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.  ",6 hours and 19 minutes,",#2,004 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#184 in Money & Finance,#4,461 in Business & Economics",4.5,178.0,668.0,,"['', '#2', '004 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#184 in Money & Finance', '#4', '461 in Business & Economics']"
100 Desi Stories To Inspire You,Madhur Zakir Hallegua,,,,4.8,7.0,668.0,Unknown,[]
100 Side Hustles: Unexpected Ideas For Making Extra Money Without Quitting Your Day Job,Chris Guillebeau,,,,4.6,165.0,1005.0,Unknown,[]
100 Tips To Crack The Iit,Paras Arora,,,,4.2,132.0,1005.0,Unknown,[]
1000 Essential Words In Tamil: I Listen. I Repeat. I Speak.,J. M. Gardner,,,,-1.0,,225.0,Unknown,[]
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves. ,8 hours and 50 minutes,",#719 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#128 in Personal Success,#1,706 in Personal Development & Self-Help",4.7,210.0,1005.0,,"['', '#719 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#128 in Personal Success', '#1', '706 in Personal Development & Self-Help']"
101 Amazing Facts About The Royal Family,Jack Goldstein,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family? ",30 minutes,",#29,652 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Biographies of Royalty,#48,605 in Biographies & Autobiographies (Books),#422,865 in Textbooks & Study Guides",2.6,15.0,152.0,,"['', '#29', '652 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#39 in Biographies of Royalty', '#48', '605 in Biographies & Autobiographies (Books)', '#422', '865 in Textbooks & Study Guides']"
101 Amazing Facts About Trees,Jack Goldstein,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself? ,35 minutes,",#29,657 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Audiobooks on Flowers & Trees for Children,#36 in Botany & Plants,#14,830 in Children's Science, Nature & Technology (Books)",5.0,1.0,152.0,,"['', '#29', '657 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#3 in Audiobooks on Flowers & Trees for Children', '#36 in Botany & Plants', '#14', ""830 in Children's Science"", 'Nature & Technology (Books)']"
101 Amazing Facts About William Shakespeare,Jack Goldstein,Did you know that Shakespeare introduced thousands of words into the English language? Do you know what unusual item he left to his wife in his will? Have you heard of the conspiracy theory that suggests Shakespeare didn't write the plays we attribute to him today? ,26 minutes,",#29,653 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#191 in Historical Biographies,#248 in Literary History & Criticism,#19,105 in Literary Theory, History & Criticism",-1.0,,152.0,,"['', '#29', '653 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#191 in Historical Biographies', '#248 in Literary History & Criticism', '#19', '105 in Literary Theory', 'History & Criticism']"
101 Animals Stories,Dreamland Publications,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,558.0,233.0,-1,['-1']
101 Bedtime Stories,Dreamland Publications,,,,3.9,461.0,233.0,Unknown,[]
101 Best Indian Fables For Children,Stuti Gupta,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over? ,2 hours and 26 minutes,",#3,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#42 in Fairy Tales, Folk Tales & Myths for Children,#255 in Literature & Fiction for Children,#1,094 in Children's Traditional Stories (Books)",3.7,23.0,233.0,,"['', '#3', '958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals)', '#42 in Fairy Tales', 'Folk Tales & Myths for Children', '#255 in Literature & Fiction for Children', '#1', ""094 in Children's Traditional Stories (Books)""]"
101 Essays That Will Change The Way You Think,Brianna Wiest,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,103.0,586.0,-1,['-1']
101 Fairy Tales Book,Dreamland Publications,"This volume is a collection of the most memorable fairy tales for young learners. Short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. Popular tales like Cinderella, Beauty and the Beast, Snow White and the Seven Dwarfs, Thumbelina, Sleeping Beauty, Alice in Wonderland, Aladdin, Pinocchio, Peter Pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. Favourites from the animal kingdom are presented in tales like The Jungle Book, Goldilocks and the Three Bears, The Monkey and the Crab, Three Naughty Little Rabbits, Bambi and others.   ",-1,-1,4.3,386.0,233.0,-1,['-1']
101 Great Answers To The Toughest Interview Questions,Ron Fry,,,,4.6,9.0,398.0,Unknown,[]
